ABCB7
CACNA1B
CHCHD2
DNAJC6
DRD2
ECHS1
EIF4G1
FBXO7
GBA1
GCH1
GIGYF2
GLRA1
GLRB
GNAL
GNAO1
HPCA
HTRA2
KCNMA1
KCNN2
KCTD17
KMT2B
LRRK2
MECR
MICU1
NKX2-1
PARK7
PDE10A
PDE2A
PINK1
PLA2G6
PNKD
PRKRA
PRRT2
SGCE
SLC20A2
SLC2A1
SLC30A10
SLC39A14
SLC6A3
SLC6A5
SNCA
SPR
SYNJ1
TAF1
TBC1D24
TH
THAP1
TOR1A
TOR1AIP1
TUBB4A
UCHL1
VPS13A
VPS13C
VPS16
VPS35
VPS41
ATP1A2
SCN1A
ABHD16A
ADAR
ADD3
ALDH3A2
AMFR
AMPD2
AP4B1
AP4E1
AP4M1
AP4S1
AP5Z1
ARG1
ARL6IP1
ARSA
ARSI
ATP2B4
ATP6AP2
B4GALNT1
C19orf12
CACNA1E
CAPN1
CHMP3
CLDN5
CPT1C
CYP2U1
CYP7B1
DARS1
DDHD1
DDHD2
DSTYK
ENTPD1
ERLIN1
ERLIN2
EXOSC3
FA2H
FARS2
GAD1
GBA2
GJC2
GLRX5
GPT2
HACE1
HPDL
HSPD1
IBA57
IFIH1
KANK1
KIDINS220
KLC2
KLC4
KPNA3
L1CAM
LYST
MAG
MAPK8IP3
MARS2
NIPA1
NT5C2
PCYT2
PGAP1
PLP1
PNPLA6
RAB3GAP2
REEP2
RNASEH2B
SAMHD1
SARS1
SARS2
SELENOI
SLC16A2
SLC1A4
SLC33A1
SPART
SPAST
SPG21
SPTSSA
TECPR2
TMEM63C
TREX1
UBAP1
UNC79
UNC80
USP8
VPS37A
WASHC5
WDR48
ZFR
ZFYVE26
ZFYVE27
JAM2
JAM3
MYORG
NRROS
OCLN
PDGFB
PDGFRB
XPR1
AARS2
ACTA2
AIMP1
AIMP2
APP
ASPA
CCM2
CHD4
CLDN11
CNOT3
COASY
COL4A1
COL4A2
CRAT
CSF1R
CST3
CTC1
DARS2
DEGS1
EIF2AK1
EIF2AK2
EIF2B1
EIF2B2
EIF2B3
EIF2B4
EIF2B5
EPRS1
FRG1
FRG2
FTL
GFAP
GUCY1A1
HEPACAM
HIKESHI
HTRA1
HYCC1
KRIT1
LMNB1
LYRM7
MAL
MLC1
NAXD
NOTCH3
PANK2
PDCD10
PI4KA
POLR1C
PSAP
PYCR2
RARS1
REPS1
RNASET2
RNF213
RPIA
SETD5
SLC35B2
STN1
TMEM106B
TMEM163
TMEM63A
UBTF
UFM1
VPS11
WDR45
ANG
ANXA11
ASAH1
ASCC1
ATP7A
CHCHD10
CHMP2B
ERBB4
EXOSC8
EXOSC9
FUS
GLT8D1
HNRNPA1
HNRNPA2B1
LAS1L
MATR3
NEK1
OPTN
PFN1
PRPH
SIGMAR1
SLC52A1
SLC52A2
SLC52A3
SQSTM1
TARDBP
TBK1
TIA1
TRIP4
TUBA4A
UBA1
UBQLN2
VAPB
VRK1
ATP7B
CTSF
CYLD
DNAJC5
ITM2B
MAPT
NPC1
NPC2
PRNP
PSEN1
PSEN2
SMPD1
CDKL5
FOXG1
GABBR2
MECP2
SMC1A
CACNA1S
CLCN1
KCNJ2
SCN4A
B3GALNT2
B4GAT1
CHKA
CHKB
COL12A1
CRPPA
DAG1
DMD
DPM1
DPM2
DPM3
FKRP
FKTN
GMPPB
GOLGA2
ITGA7
ITGA9
LAMA2
LARGE1
MTMR14
MYBPC3
PIGY
PLOD1
POMGNT1
POMGNT2
POMK
POMT1
POMT2
RXYLT1
RYR1
SELENON
SLC28A2
TRAPPC11
TTN
AGRN
ALG14
ALG2
ASCC3
CHAT
CHD8
CHRNA1
CHRNB1
CHRND
CHRNE
CHRNG
COL13A1
COLQ
DES
DOK7
DPAGT1
GFPT1
LAMB2
LRP4
MACF1
MUSK
MYO9A
PREPL
PYROXD1
RAPSN
SLC18A3
SLC25A1
SNAP25
ABCA7
ACTA1
ADAMTS15
ADCY6
ADGRG6
ASB5
ASXL1
B3GALT6
BAZ1B
BIN1
BLTP1
CNTN1
COL1A1
COL25A1
DHCR24
ECEL1
ERBB3
ERCC5
ERGIC1
FBN2
FHL1
FKBP10
FLNA
FLNB
FOXP3
GLDN
GLE1
GPR153
HS2ST1
HSPG2
KAT6B
KIF5C
KY
LGI4
LIFR
LMX1B
LOXL4
MAGEL2
MAP2K1
MTM1
MYBPC1
MYH2
MYH3
MYH8
MYL11
MYOD1
MYOM2
NALCN
NEB
NEK9
NMNAT2
NUP88
NVL
P4HA1
PAX3
PFKM
PIEZO2
PIP5K1C
PLOD2
PLXDC2
RYR3
SCARF2
SCYL2
SEMA3A
SLC13A4
SLC35A3
SLC6A9
SMPD4
STAC3
TGFB3
TNNI2
TNNT3
TPM2
UNC50
ZBTB42
ZC4H2
ACADM
ACADS
ACADVL
AGL
ANO5
ASPH
ATP2A2
CAV3
COX6A2
CPT2
ENO3
ETFA
ETFB
ETFDH
FLAD1
G6PC1
GAA
GYG1
GYS1
IFITM3
LDHA
LPIN1
MAGT1
MLIP
OBSCN
PCCA
PCCB
PGAM2
PGM1
PHKA1
PHKB
PYGM
SLC25A32
SLC25A4
TANGO2
TBCK
TMEM126B
ASXL2
ASXL3
HECW2
HNRNPK
IARS1
MICU2
PAX7
PAXBP1
PPP3CA
ACTN2
CAPN3
CHD7
DNAJB6
DNMT3B
DTNA
DYSF
EMD
GAPDH
GGPS1
HMGCR
HMGCS1
HNRNPDL
JAG2
LIMS2
LRIF1
MYOT
PABPN1
PLEC
POGLUT1
POPDC1
POPDC2
POPDC3
SGCA
SGCB
SGCD
SGCG
SMCHD1
SYNE2
TCAP
TMEM43
TNPO3
TNXB
TRIM32
ABHD5
ADSS1
AMPD1
AP2A2
ATP2A1
C1QBP
CASQ1
CAVIN1
CCDC78
CFL2
CHST14
CIAO1
CRYAB
DCAF13
DCST2
DNAJB4
FHL3
FILIP1
FKBP14
FLNC
FXR1
GNE
HACD1
HADHA
HADHB
HRAS
INPP5K
ISCU
JPH1
KBTBD13
KIF21A
KLHL24
KLHL29
KLHL40
KLHL41
KLHL9
LAMP2
LDB3
LMOD3
MAMDC2
MAP3K20
MB
MEGF10
MSTN
MYF6
MYL1
MYL2
MYMK
MYMX
MYO15B
MYO18B
MYPN
ORAI1
PGK1
PHOX2A
PLCB1
PNPLA2
POLG2
PUS1
RBCK1
SLC22A5
SLC25A20
SLC25A42
SMPX
SPEG
SRPK3
STIM1
SVIL
SYNC
TAFAZZIN
TNNC2
TNNT1
TPM3
UNC45B
VMA21
WASHC4
ACAD9
AGK
ATP5F1A
BCS1L
CEP89
COX10
COX14
COX15
COX6B1
CYC1
DGUOK
DNA2
FBXL4
FOXRED1
LRPPRC
MGME1
MRPL3
MTFMT
NDUFA1
NDUFA10
NDUFA12
NDUFA2
NDUFA4
NDUFA9
NDUFAF1
NDUFAF2
NDUFAF6
NDUFS1
NDUFS2
NDUFS3
NDUFS4
NDUFS7
NDUFS8
NDUFV1
NFU1
PET100
RMND1
RRM2B
SDHA
SDHAF1
SLC19A3
SUCLA2
SUCLG1
TACO1
TARS2
TK2
TRMU
TTC19
TWNK
TYMP
UQCRC2
UQCRQ
VARS2
ACTG2
LMOD1
MYH11
MYLK
