sample,genome,reference,percent_unmapped,percent_mq0,percent_mapped,percent_mq>0_mapped,reads_mapped_mq=0,properly_paired,misoriented,mismatch_rate
D22-0060,Linear,T2T-CHM13,0.00107872,0.05959292,0.99892128,0.93932836,0.05959292,0.99336687,0.00020618,0.00637062
D22-0074,Linear,T2T-CHM13,0.00115871,0.05662070,0.99884129,0.94222059,0.05662070,0.99318462,0.00025556,0.00659484
D22-0075,Linear,T2T-CHM13,0.00104803,0.06095332,0.99895197,0.93799865,0.06095332,0.99338997,0.00023807,0.00666761
D22-0080,Linear,T2T-CHM13,0.00105637,0.05726736,0.99894363,0.94167626,0.05726736,0.99361395,0.00020422,0.00721946
D22-0081,Linear,T2T-CHM13,0.00098838,0.06390198,0.99901162,0.93510964,0.06390198,0.99318749,0.00025866,0.00769275
D22-0082,Linear,T2T-CHM13,0.00096766,0.06101154,0.99903234,0.93802079,0.06101154,0.99341122,0.00024022,0.00776491
D22-0088,Linear,T2T-CHM13,0.00129959,0.06212528,0.99870041,0.93657513,0.06212528,0.99314825,0.00023633,0.00769664
D22-0089,Linear,T2T-CHM13,0.00108560,0.06258509,0.99891440,0.93632932,0.06258509,0.99358080,0.00020512,0.00709906
D22-0109,Linear,T2T-CHM13,0.00100173,0.06020652,0.99899827,0.93879175,0.06020652,0.99481481,0.00017491,0.00659237
D22-0110,Linear,T2T-CHM13,0.00110662,0.06202915,0.99889338,0.93686423,0.06202915,0.99437345,0.00019478,0.00644653
D22-0119,Linear,T2T-CHM13,0.00117404,0.06287805,0.99882596,0.93594792,0.06287805,0.99347758,0.00019341,0.00729404
D22-0159,Linear,T2T-CHM13,0.00107594,0.05804438,0.99892406,0.94087968,0.05804438,0.99456580,0.00014024,0.00609099
D22-0161,Linear,T2T-CHM13,0.00099660,0.06239959,0.99900340,0.93660381,0.06239959,0.99430610,0.00018889,0.00628345
D22-0162,Linear,T2T-CHM13,0.00096055,0.05751666,0.99903945,0.94152278,0.05751666,0.99473425,0.00016708,0.00658479
D22-0170,Linear,T2T-CHM13,0.00074871,0.05374803,0.99925129,0.94550326,0.05374803,0.99527606,0.00021449,0.00690294
D23-0058,Linear,T2T-CHM13,0.00091361,0.06517645,0.99908639,0.93390995,0.06517645,0.99356690,0.00023185,0.00552009
D23-0059,Linear,T2T-CHM13,0.00088851,0.06532968,0.99911149,0.93378181,0.06532968,0.99348936,0.00023415,0.00553655
D23-0060,Linear,T2T-CHM13,0.00078421,0.05784501,0.99921579,0.94137078,0.05784501,0.99432225,0.00020927,0.00558021
DGS-20-210,Linear,T2T-CHM13,0.00066123,0.06068626,0.99933877,0.93865250,0.06068626,0.99295510,0.00017012,0.00458634
D09-468,Linear,GRCh38,0.00051710,0.04265372,0.99948290,0.95682918,0.04265372,0.98915845,0.00027164,0.00573132
D12-880,Linear,GRCh38,0.00004518,0.04249881,0.99995482,0.95745601,0.04249881,0.98492080,0.00036512,0.00938521
D12-881,Linear,GRCh38,0.00005298,0.04525395,0.99994702,0.95469307,0.04525395,0.98491907,0.00029330,0.00845395
D12-928,Linear,GRCh38,0.00124229,0.04673572,0.99875771,0.95202199,0.04673572,0.98152244,0.00047186,0.01026417
D13-708,Linear,GRCh38,0.00110291,0.04408138,0.99889709,0.95481572,0.04408138,0.98690332,0.00025342,0.00785607
D13-944,Linear,GRCh38,0.00069812,0.04204802,0.99930188,0.95725386,0.04204802,0.98950802,0.00020497,0.00708081
D14-0589,Linear,GRCh38,0.00004152,0.04264099,0.99995848,0.95731749,0.04264099,0.98431615,0.00046566,0.01010626
D15-0055,Linear,GRCh38,0.00034661,0.04161456,0.99965339,0.95803883,0.04161456,0.98843945,0.00023830,0.00477889
D15-1048,Linear,GRCh38,0.00095885,0.04513268,0.99904115,0.95390847,0.04513268,0.98612938,0.00027151,0.00487537
D15-1050,Linear,GRCh38,0.00147718,0.04164545,0.99852282,0.95687737,0.04164545,0.98594417,0.00025988,0.00596847
D15-1762,Linear,GRCh38,0.00062323,0.04478230,0.99937677,0.95459447,0.04478230,0.98721024,0.00036749,0.00640265
D15-1768,Linear,GRCh38,0.00063553,0.04135680,0.99936447,0.95800768,0.04135680,0.98862086,0.00039645,0.00597321
D16-0208,Linear,GRCh38,0.00076140,0.04315184,0.99923860,0.95608676,0.04315184,0.98801899,0.00035467,0.00780397
D16-0298,Linear,GRCh38,0.00134281,0.04150957,0.99865719,0.95714762,0.04150957,0.98764265,0.00029678,0.00825958
D17-0918,Linear,GRCh38,0.00085234,0.04817197,0.99914766,0.95097569,0.04817197,0.98594708,0.00041957,0.00798280
D18-0051,Linear,GRCh38,0.00090918,0.04878717,0.99909082,0.95030365,0.04878717,0.98582595,0.00030978,0.00727432
D18-0870,Linear,GRCh38,0.00095238,0.04799178,0.99904762,0.95105585,0.04799178,0.98545913,0.00035509,0.00749624
D18-1122,Linear,GRCh38,0.00093740,0.04672901,0.99906260,0.95233360,0.04672901,0.98611861,0.00033656,0.00914792
D18-1921,Linear,GRCh38,0.00110712,0.04540652,0.99889288,0.95348636,0.04540652,0.98675076,0.00028619,0.00881444
D19-0714,Linear,GRCh38,0.00082220,0.04501682,0.99917780,0.95416098,0.04501682,0.98775861,0.00032800,0.00836345
D19-0823,Linear,GRCh38,0.00063557,0.04882794,0.99936443,0.95053649,0.04882794,0.98676698,0.00029298,0.00569951
D19-0824,Linear,GRCh38,0.00062245,0.04329751,0.99937755,0.95608004,0.04329751,0.98906265,0.00026975,0.00583247
D19-0825,Linear,GRCh38,0.00063472,0.04694368,0.99936528,0.95242160,0.04694368,0.98699641,0.00028881,0.00636629
D19-1647,Linear,GRCh38,0.00146215,0.04278453,0.99853785,0.95575332,0.04278453,0.98679270,0.00033370,0.00634652
D19-1648,Linear,GRCh38,0.00153888,0.04514545,0.99846112,0.95331567,0.04514545,0.98550571,0.00030809,0.00644728
D19-1649,Linear,GRCh38,0.00167902,0.04524461,0.99832098,0.95307637,0.04524461,0.98662040,0.00033492,0.00648561
D20-0414,Linear,GRCh38,0.00060070,0.04311773,0.99939930,0.95628157,0.04311773,0.98331603,0.00032441,0.00562875
D20-0418,Linear,GRCh38,0.00060954,0.04474793,0.99939046,0.95464253,0.04474793,0.98434471,0.00032055,0.00576428
D20-0819,Linear,GRCh38,0.00054598,0.04531450,0.99945402,0.95413953,0.04531450,0.98734552,0.00037928,0.00619531
D20-1019,Linear,GRCh38,0.00157587,0.04478238,0.99842413,0.95364175,0.04478238,0.98475719,0.00034626,0.00820630
D20-1040,Linear,GRCh38,0.00157560,0.04913000,0.99842440,0.94929440,0.04913000,0.98338972,0.00035031,0.00797084
D21-0013,Linear,GRCh38,0.00085368,0.04589996,0.99914632,0.95324635,0.04589996,0.98709106,0.00030554,0.00710226
D21-0023,Linear,GRCh38,0.09063454,0.04324213,0.90936546,0.86612333,0.04324213,0.89780671,0.00027715,0.00669618
D21-0024,Linear,GRCh38,0.04333265,0.04156731,0.95666735,0.91510004,0.04156731,0.94629594,0.00029654,0.00662792
D21-0068,Linear,GRCh38,0.00067710,0.04716474,0.99932290,0.95215816,0.04716474,0.98824060,0.00029597,0.00612059
D21-0069,Linear,GRCh38,0.00047364,0.04167656,0.99952636,0.95784980,0.04167656,0.98882541,0.00032416,0.00560069
D21-0074,Linear,GRCh38,0.00148682,0.04534769,0.99851318,0.95316549,0.04534769,0.98552422,0.00029861,0.00781596
D21-0075,Linear,GRCh38,0.00104360,0.04873165,0.99895640,0.95022476,0.04873165,0.98551160,0.00031038,0.00764340
D21-0076,Linear,GRCh38,0.00120144,0.04335550,0.99879856,0.95544306,0.04335550,0.98686004,0.00028212,0.00758536
D21-0077,Linear,GRCh38,0.00123100,0.04415093,0.99876900,0.95461807,0.04415093,0.98616979,0.00033466,0.00795550
D21-0078,Linear,GRCh38,0.00121262,0.04663095,0.99878738,0.95215642,0.04663095,0.98555185,0.00028812,0.00760779
D21-0079,Linear,GRCh38,0.00127860,0.04339598,0.99872140,0.95532543,0.04339598,0.98672950,0.00026456,0.00777771
D21-0083,Linear,GRCh38,0.00089518,0.04473348,0.99910482,0.95437134,0.04473348,0.98729168,0.00028467,0.00754865
