sample,genome,reference,percent_unmapped,percent_mq0,percent_mapped,percent_mq>0_mapped,reads_mapped_mq=0,properly_paired,misoriented,mismatch_rate
D20-0414,Linear,T2T-CHM13,0.0007102,0.0564705,0.9992898,0.9428193,0.0564705,0.9897350,0.0002235,0.0046011
D20-0418,Linear,T2T-CHM13,0.0007239,0.0590538,0.9992761,0.9402224,0.0590538,0.9909365,0.0002763,0.0046797
D20-0819,Linear,T2T-CHM13,0.0006864,0.0615301,0.9993136,0.9377836,0.0615301,0.9948356,0.0002824,0.0050189
D20-1019,Linear,T2T-CHM13,0.0016927,0.0601978,0.9983073,0.9381095,0.0601978,0.9909328,0.0002941,0.0073202
D20-1040,Linear,T2T-CHM13,0.0016772,0.0658581,0.9983228,0.9324648,0.0658581,0.9908400,0.0002648,0.0068503
D21-0013,Linear,T2T-CHM13,0.0009877,0.0606803,0.9990123,0.9383320,0.0606803,0.9932978,0.0002501,0.0061938
D21-0023,Linear,T2T-CHM13,0.0907098,0.0573218,0.9092903,0.8519685,0.0573218,0.9041450,0.0002420,0.0054960
D21-0024,Linear,T2T-CHM13,0.0434317,0.0544625,0.9565683,0.9021058,0.0544625,0.9514536,0.0002600,0.0058296
D21-0068,Linear,T2T-CHM13,0.0008024,0.0626690,0.9991977,0.9365286,0.0626690,0.9947379,0.0002004,0.0050665
D21-0069,Linear,T2T-CHM13,0.0005954,0.0559487,0.9994046,0.9434559,0.0559487,0.9951440,0.0002057,0.0046807
D21-0074,Linear,T2T-CHM13,0.0015958,0.0609704,0.9984042,0.9374338,0.0609704,0.9919212,0.0001985,0.0068265
D21-0075,Linear,T2T-CHM13,0.0011561,0.0656619,0.9988439,0.9331819,0.0656619,0.9928576,0.0002466,0.0064724
D21-0076,Linear,T2T-CHM13,0.0013153,0.0570311,0.9986847,0.9416536,0.0570311,0.9925485,0.0002612,0.0067085
D21-0077,Linear,T2T-CHM13,0.0013402,0.0590460,0.9986598,0.9396138,0.0590460,0.9925934,0.0002655,0.0069761
D21-0078,Linear,T2T-CHM13,0.0013315,0.0638183,0.9986685,0.9348503,0.0638183,0.9931031,0.0001989,0.0063342
D21-0079,Linear,T2T-CHM13,0.0013836,0.0578394,0.9986164,0.9407769,0.0578394,0.9926916,0.0002733,0.0068456
D21-0083,Linear,T2T-CHM13,0.0010201,0.0605729,0.9989799,0.9384070,0.0605729,0.9932700,0.0002360,0.0066322
D21-0084,Linear,T2T-CHM13,0.0011080,0.0627787,0.9988921,0.9361134,0.0627787,0.9924060,0.0002750,0.0067238
D21-0085,Linear,T2T-CHM13,0.0009576,0.0621571,0.9990424,0.9368853,0.0621571,0.9947305,0.0001436,0.0064319
D22-0006,Linear,T2T-CHM13,0.0011481,0.0622264,0.9988519,0.9366255,0.0622264,0.9944934,0.0001891,0.0060801
D22-0007,Linear,T2T-CHM13,0.0007310,0.0347008,0.9992690,0.9645682,0.0347008,0.9942736,0.0003685,0.0059334
