sample,genome,reference,percent_unmapped,percent_mq0,percent_mapped,percent_mq>0_mapped,reads_mapped_mq=0,properly_paired,misoriented,mismatch_rate
D22-0080,HPRC,T2T-CHM13,0.0051010,0.0488948,0.9948990,0.9416763,0.0488948,0.9768760,0.0064825,0.0003861
D22-0081,HPRC,T2T-CHM13,0.0059003,0.0550630,0.9940997,0.9351096,0.0550630,0.9757804,0.0064552,0.0004174
D22-0082,HPRC,T2T-CHM13,0.0049518,0.0526340,0.9950482,0.9380208,0.0526340,0.9759317,0.0067279,0.0004253
D22-0088,HPRC,T2T-CHM13,0.0054943,0.0518102,0.9945057,0.9365751,0.0518102,0.9733162,0.0076852,0.0004284
D22-0089,HPRC,T2T-CHM13,0.0054535,0.0523054,0.9945465,0.9363293,0.0523054,0.9755781,0.0068765,0.0003986
D22-0109,HPRC,T2T-CHM13,0.0051648,0.0497346,0.9948352,0.9387918,0.0497346,0.9800224,0.0053307,0.0003613
D22-0110,HPRC,T2T-CHM13,0.0052838,0.0515674,0.9947162,0.9368642,0.0515674,0.9794551,0.0053414,0.0003618
D22-0119,HPRC,T2T-CHM13,0.0056249,0.0525504,0.9943751,0.9359479,0.0525504,0.9745829,0.0072426,0.0004021
D22-0159,HPRC,T2T-CHM13,0.0051853,0.0479142,0.9948147,0.9408797,0.0479142,0.9791329,0.0055536,0.0003613
D22-0161,HPRC,T2T-CHM13,0.0059771,0.0519656,0.9940229,0.9366038,0.0519656,0.9785180,0.0054315,0.0003669
D22-0162,HPRC,T2T-CHM13,0.0051242,0.0482466,0.9948758,0.9415228,0.0482466,0.9794166,0.0053785,0.0003719
D22-0170,HPRC,T2T-CHM13,0.0048444,0.0441944,0.9951556,0.9455033,0.0441944,0.9812876,0.0049370,0.0003968
D23-0058,HPRC,T2T-CHM13,0.0055935,0.0531017,0.9944065,0.9339099,0.0531017,0.9786361,0.0055017,0.0003976
D23-0059,HPRC,T2T-CHM13,0.0057620,0.0539206,0.9942380,0.9337818,0.0539206,0.9780483,0.0056287,0.0003974
D23-0060,HPRC,T2T-CHM13,0.0048748,0.0470142,0.9951252,0.9413708,0.0470142,0.9795851,0.0055058,0.0003798
DGS-20-210,HPRC,T2T-CHM13,0.0053977,0.0479507,0.9946023,0.9386525,0.0479507,0.9863202,0.0019829,0.0003461
D09-468,HPRC,GRCh38,0.0170966,0.0373795,0.9829034,0.9568292,0.0373795,0.9647540,0.0058229,0.0000000
D12-880,HPRC,GRCh38,0.0180187,0.0468782,0.9819813,0.9574560,0.0468782,0.9592247,0.0057649,0.0004654
D12-881,HPRC,GRCh38,0.0200135,0.0474622,0.9799865,0.9546931,0.0474622,0.9598583,0.0046797,0.0004955
D12-928,HPRC,GRCh38,0.0187432,0.0533319,0.9812568,0.9520220,0.0533319,0.9566030,0.0064348,0.0004743
D13-708,HPRC,GRCh38,0.0176764,0.0408927,0.9823236,0.9548157,0.0408927,0.9615865,0.0035565,0.0003952
D13-944,HPRC,GRCh38,0.0166981,0.0373419,0.9833019,0.9572539,0.0373419,0.9669262,0.0046429,0.0003893
D14-0589,HPRC,GRCh38,0.0185030,0.0495504,0.9814970,0.9573175,0.0495504,0.9584561,0.0058820,0.0006050
D15-0055,HPRC,GRCh38,0.0167641,0.0352104,0.9832359,0.9580388,0.0352104,0.9751470,0.0012787,0.0004002
D15-1048,HPRC,GRCh38,0.0176611,0.0380726,0.9823389,0.9539085,0.0380726,0.9730764,0.0017686,0.0004150
D15-1050,HPRC,GRCh38,0.0169113,0.0365428,0.9830887,0.9568774,0.0365428,0.9714359,0.0023452,0.0003962
D15-1762,HPRC,GRCh38,0.0160004,0.0401624,0.9839996,0.9545945,0.0401624,0.9614671,0.0071134,0.0004333
D15-1768,HPRC,GRCh38,0.0165885,0.0370977,0.9834115,0.9580077,0.0370977,0.9640100,0.0065074,0.0004589
D16-0208,HPRC,GRCh38,0.0167882,0.0386672,0.9832118,0.9560868,0.0386672,0.9651321,0.0054781,0.0004533
D16-0298,HPRC,GRCh38,0.0162452,0.0378330,0.9837548,0.9571476,0.0378330,0.9649348,0.0035067,0.0004223
D17-0918,HPRC,GRCh38,0.0175499,0.0441832,0.9824501,0.9509757,0.0441832,0.9640622,0.0053981,0.0004552
D18-0051,HPRC,GRCh38,0.0178414,0.0446406,0.9821586,0.9503036,0.0446406,0.9603153,0.0069756,0.0004326
D18-0870,HPRC,GRCh38,0.0177370,0.0438564,0.9822630,0.9510558,0.0438564,0.9598732,0.0073455,0.0004399
D18-1122,HPRC,GRCh38,0.0169425,0.0441515,0.9830575,0.9523336,0.0441515,0.9614519,0.0043918,0.0004150
D18-1921,HPRC,GRCh38,0.0182864,0.0424521,0.9817136,0.9534864,0.0424521,0.9594465,0.0047405,0.0003949
D19-0714,HPRC,GRCh38,0.0171792,0.0416195,0.9828208,0.9541610,0.0416195,0.9623525,0.0039008,0.0004394
D19-0823,HPRC,GRCh38,0.0188497,0.0426706,0.9811503,0.9505365,0.0426706,0.9612262,0.0065096,0.0003985
D19-0824,HPRC,GRCh38,0.0176571,0.0383676,0.9823429,0.9560800,0.0383676,0.9618715,0.0070901,0.0003982
D19-0825,HPRC,GRCh38,0.0185114,0.0417306,0.9814886,0.9524216,0.0417306,0.9602725,0.0068740,0.0004157
D19-1647,HPRC,GRCh38,0.0166890,0.0379484,0.9833110,0.9557533,0.0379484,0.9646248,0.0060649,0.0004676
D19-1648,HPRC,GRCh38,0.0177933,0.0397129,0.9822067,0.9533157,0.0397129,0.9623974,0.0062677,0.0004331
D19-1649,HPRC,GRCh38,0.0166812,0.0406948,0.9833188,0.9530764,0.0406948,0.9642736,0.0062367,0.0004315
D20-0414,HPRC,GRCh38,0.0169396,0.0372510,0.9830604,0.9562816,0.0372510,0.9683932,0.0031406,0.0003842
D20-0418,HPRC,GRCh38,0.0177955,0.0390752,0.9822045,0.9546425,0.0390752,0.9679916,0.0029207,0.0003839
D20-0819,HPRC,GRCh38,0.0161134,0.0410744,0.9838866,0.9541395,0.0410744,0.9650795,0.0060279,0.0005020
D20-1019,HPRC,GRCh38,0.0172487,0.0418121,0.9827513,0.9536417,0.0418121,0.9605220,0.0072596,0.0004404
D20-1040,HPRC,GRCh38,0.0178586,0.0451404,0.9821414,0.9492944,0.0451404,0.9605209,0.0067372,0.0004747
D21-0013,HPRC,GRCh38,0.0172032,0.0418670,0.9827968,0.9532464,0.0418670,0.9626809,0.0063988,0.0005103
D21-0023,HPRC,GRCh38,0.0173096,0.0421901,0.9826904,0.8661233,0.0421901,0.9616094,0.0063588,0.0004450
D21-0024,HPRC,GRCh38,0.0170336,0.0377839,0.9829664,0.9151000,0.0377839,0.9640451,0.0062362,0.0004429
D21-0068,HPRC,GRCh38,0.0178743,0.0417750,0.9821257,0.9521582,0.0417750,0.9615435,0.0069430,0.0004105
D21-0069,HPRC,GRCh38,0.0168189,0.0370374,0.9831811,0.9578498,0.0370374,0.9644135,0.0063039,0.0003965
D21-0074,HPRC,GRCh38,0.0178366,0.0417645,0.9821634,0.9531655,0.0417645,0.9595800,0.0044659,0.0004119
D21-0075,HPRC,GRCh38,0.0184026,0.0442765,0.9815974,0.9502248,0.0442765,0.9629668,0.0027312,0.0003894
D21-0076,HPRC,GRCh38,0.0169639,0.0393979,0.9830361,0.9554431,0.0393979,0.9641253,0.0031879,0.0004242
D21-0077,HPRC,GRCh38,0.0166775,0.0408528,0.9833225,0.9546181,0.0408528,0.9614765,0.0041477,0.0003914
D21-0078,HPRC,GRCh38,0.0175001,0.0421012,0.9824999,0.9521564,0.0421012,0.9645521,0.0027592,0.0004028
D21-0079,HPRC,GRCh38,0.0172980,0.0400430,0.9827020,0.9553254,0.0400430,0.9625913,0.0036905,0.0004117
D21-0083,HPRC,GRCh38,0.0176309,0.0424230,0.9823691,0.9543713,0.0424230,0.9598214,0.0073085,0.0004401
D21-0084,HPRC,GRCh38,0.0176792,0.0437137,0.9823208,0.9531690,0.0437137,0.9599005,0.0070669,0.0004857
D21-0085,HPRC,GRCh38,0.0169347,0.0413527,0.9830653,0.9535024,0.0413527,0.9656676,0.0053132,0.0004089
D22-0006,HPRC,GRCh38,0.0162537,0.0421813,0.9837463,0.9514789,0.0421813,0.9644080,0.0061571,0.0004487
D22-0007,HPRC,GRCh38,0.0130982,0.0202621,0.9869018,0.9718110,0.0202621,0.9719607,0.0057715,0.0005165
D22-0008,HPRC,GRCh38,0.0160256,0.0398787,0.9839744,0.9561132,0.0398787,0.9652785,0.0061538,0.0004673
D22-0015,HPRC,GRCh38,0.0178318,0.0424813,0.9821682,0.9509054,0.0424813,0.9632394,0.0059484,0.0004535
D22-0017,HPRC,GRCh38,0.0170217,0.0427324,0.9829783,0.9504107,0.0427324,0.9646886,0.0055845,0.0004483
D22-0018,HPRC,GRCh38,0.0178798,0.0375877,0.9821202,0.9543124,0.0375877,0.9642273,0.0055966,0.0004576
D22-0049,HPRC,GRCh38,0.0171668,0.0409060,0.9828332,0.7888416,0.0409060,0.9649655,0.0054854,0.0004239
D22-0050,HPRC,GRCh38,0.0177258,0.0437119,0.9822742,0.9513354,0.0437119,0.9603554,0.0069316,0.0004255
D22-0056,HPRC,GRCh38,0.0172718,0.0423518,0.9827282,0.9521064,0.0423518,0.9613066,0.0070475,0.0004390
D22-0060,HPRC,GRCh38,0.0164652,0.0419551,0.9835348,0.9537935,0.0419551,0.9609413,0.0075005,0.0004324
D22-0074,HPRC,GRCh38,0.0157630,0.0394441,0.9842370,0.9564721,0.0394441,0.9640115,0.0066888,0.0004063
D22-0075,HPRC,GRCh38,0.0166489,0.0421935,0.9833511,0.9530665,0.0421935,0.9634723,0.0065578,0.0004138
D22-0080,HPRC,GRCh38,0.0174520,0.0402508,0.9825480,0.9554137,0.0402508,0.9629053,0.0064057,0.0004276
D22-0081,HPRC,GRCh38,0.0189089,0.0439484,0.9810911,0.9523369,0.0439484,0.9611028,0.0064093,0.0004568
D22-0082,HPRC,GRCh38,0.0165907,0.0435777,0.9834093,0.9534881,0.0435777,0.9626373,0.0066029,0.0004739
D22-0088,HPRC,GRCh38,0.0163350,0.0429947,0.9836650,0.9525260,0.0429947,0.9612175,0.0075623,0.0004711
D22-0089,HPRC,GRCh38,0.0184883,0.0425381,0.9815117,0.9518980,0.0425381,0.9607318,0.0067986,0.0004420
D22-0109,HPRC,GRCh38,0.0162914,0.0402200,0.9837086,0.9547887,0.0402200,0.9668382,0.0052953,0.0004092
D22-0110,HPRC,GRCh38,0.0169331,0.0417491,0.9830669,0.9536267,0.0417491,0.9658027,0.0052984,0.0004071
D22-0119,HPRC,GRCh38,0.0164689,0.0431601,0.9835311,0.9524051,0.0431601,0.9610863,0.0071946,0.0004423
D22-0159,HPRC,GRCh38,0.0168945,0.0382970,0.9831055,0.9565486,0.0382970,0.9653433,0.0054921,0.0004104
D22-0161,HPRC,GRCh38,0.0168707,0.0410217,0.9831293,0.9544276,0.0410217,0.9653154,0.0054052,0.0004147
D22-0162,HPRC,GRCh38,0.0160375,0.0390409,0.9839625,0.9567819,0.0390409,0.9662742,0.0053147,0.0004111
D22-0170,HPRC,GRCh38,0.0159324,0.0378694,0.9840676,0.9579507,0.0378694,0.9694013,0.0046787,0.0004410
D23-0058,HPRC,GRCh38,0.0194051,0.0433431,0.9805949,0.9515512,0.0433431,0.9625825,0.0054363,0.0004692
D23-0059,HPRC,GRCh38,0.0174367,0.0439406,0.9825633,0.9510553,0.0439406,0.9643752,0.0055706,0.0004366
D23-0060,HPRC,GRCh38,0.0182475,0.0380448,0.9817525,0.9572902,0.0380448,0.9640588,0.0054374,0.0004275
DGS-20-210,HPRC,GRCh38,0.0171694,0.0392474,0.9828306,0.9537161,0.0392474,0.9727444,0.0019598,0.0003925
