Sample	Vars	SNP	Indel	Ts/Tv
D17-0918.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7983523	6758451	1224314	0.76
D17-0918.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8137719	6834320	1303424	0.82
D18-0051.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8350188	7101449	1247973	0.7
D18-0051.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8509468	7180367	1329203	0.75
D18-0870.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8456665	7202371	1253470	0.71
D18-0870.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8482080	7157535	1324803	0.76
D18-1122.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8545572	7204281	1340463	0.68
D18-1122.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8736363	7306862	1429722	0.73
D18-1921.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7903415	6566052	1336568	0.81
D18-1921.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8115948	6692742	1423056	0.86
D19-0714.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8260335	6910494	1349235	0.75
D19-0714.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8390698	6961915	1429198	0.81
D19-0823.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8013618	6777180	1235343	0.74
D19-0823.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8298525	6974309	1323851	0.79
D19-0824.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8181707	6923869	1257169	0.74
D19-0824.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8337006	7003811	1333042	0.79
D19-0825.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7779406	6573999	1204719	0.8
D19-0825.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8035233	6739504	1295724	0.86
D19-1647.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7541669	6297962	1243035	0.87
D19-1647.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7750463	6430506	1320289	0.93
D19-1648.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7520934	6287921	1232028	0.87
D19-1648.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7709423	6401589	1307908	0.93
D19-1649.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7523268	6280085	1242339	0.89
D19-1649.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7712698	6394753	1318058	0.95
D20-0414.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7211171	5926767	1284039	0.96
D20-0414.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7475740	6113883	1362072	1.01
D20-0418.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7010266	5770570	1238964	1.02
D20-0418.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7230255	5920271	1310392	1.08
D20-0819.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7802025	6579650	1221227	0.8
D20-0819.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7981497	6685624	1295878	0.86
D20-1019.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8352448	7046817	1304884	0.75
D20-1019.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8400877	7027203	1373561	0.81
D20-1040.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8247059	6967788	1277916	0.75
D20-1040.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8295210	6940722	1354208	0.82
D21-0013.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8303597	7043577	1259431	0.72
D21-0013.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8467339	7128462	1339111	0.78
D21-0023.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7686878	6428436	1258054	0.84
D21-0023.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7878772	6541369	1337446	0.9
D21-0024.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7946335	6646776	1299388	0.85
D21-0024.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8090273	6717680	1373204	0.91
D21-0068.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8085315	6851887	1232273	0.74
D21-0068.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8288159	6970965	1317047	0.79
D21-0069.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7838240	6608698	1228689	0.81
D21-0069.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7991382	6692039	1299379	0.87
D21-0074.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8038929	6692315	1346117	0.82
D21-0074.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8157947	6747867	1409999	0.87
D21-0075.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8127879	6741847	1385250	0.81
D21-0075.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8255901	6797846	1458021	0.85
D21-0076.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7667567	6388087	1278008	0.94
D21-0076.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7714160	6392456	1321442	0.99
D21-0077.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7953441	6586118	1366534	0.81
D21-0077.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8142320	6696885	1445278	0.86
D21-0078.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7695783	6409477	1285341	0.85
D21-0078.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7852400	6493978	1358231	0.91
D21-0079.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7624271	6346713	1276742	0.89
D21-0079.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7749396	6405553	1343725	0.94
D21-0083.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8330192	7067054	1262757	0.73
D21-0083.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8433845	7094237	1339615	0.79
D21-0084.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8345415	7067691	1276942	0.75
D21-0084.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8345154	6998136	1346976	0.81
D21-0085.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7936384	6730024	1205982	0.76
